group,batch,item_id,char,curriculum_idx,strokes,tier,phase,attempt_no,is_retry,verdict,verdict_scheme,judged_at,first_attempt_verdict,final_verdict
G3,001_pilot,p1_stroke_01_横,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:20,PASS,PASS
G4,001_pilot,p1_stroke_01_横,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:25,PASS,PASS
G2,001_pilot,p1_stroke_01_横,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:25,PASS,PASS
G1,001_pilot,p1_stroke_01_横,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:26,PASS,PASS
G3,001_pilot,p1_stroke_02_竖,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:27,PASS,PASS
G1,001_pilot,p1_stroke_02_竖,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:28,PASS,PASS
G2,001_pilot,p1_stroke_02_竖,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:29,PASS,PASS
G4,001_pilot,p1_stroke_02_竖,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:30,PASS,PASS
G1,001_pilot,p1_stroke_03_撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:31,PASS,PASS
G2,001_pilot,p1_stroke_03_撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:31,PASS,PASS
G3,001_pilot,p1_stroke_03_撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:33,PASS,PASS
G4,001_pilot,p1_stroke_03_撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:36,PASS,PASS
G4,001_pilot,p1_stroke_04_捺,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:36,PASS,PASS
G2,001_pilot,p1_stroke_04_捺,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:39,PASS,PASS
