group,batch,STOP,KEEP_GOING,other,total
G2,unknown,14,4,0,18
G2,B1,36,17,0,53
G2,B2,22,38,0,60
G2,B3,34,29,0,63
G2,B4,36,28,0,64
G2,B5,26,37,0,63
G2,B6,26,35,0,61
G2,B7,21,29,0,50
G2,B8,0,44,6,50
G2,B9,12,38,0,50
G2,B10,10,40,0,50
G2,B11,8,42,0,50
G2,B12,12,38,0,50
G2,B13,2,48,0,50
G3,bootstrap,13,5,0,18
G3,B1,27,0,23,50
G3,B1_retry,1,0,1,2
G3,B2,17,0,33,50
G3,B2_retry,0,0,8,8
G3,B3,29,0,21,50
G3,B3_retry,0,0,13,13
G3,B4_main,27,0,23,50
G3,B4_retry,1,0,7,8
G3,B5,19,0,31,50
G3,B5_retry,1,0,16,17
G3,B6_main,23,0,27,50
G3,B7_main,16,0,34,50
G3,B7_retry_v8prompt,0,0,10,10
G3,B7r_rerun_v9prompt,3,0,7,10
G3,B8_main,9,0,41,50
G3,B8_retry,0,0,7,7
G3,B9,14,0,36,50
G3,B9_retry,0,0,4,4
G3,B10,12,0,38,50
G3,B10_retry,2,0,5,7
G3,B11_retry,0,0,5,5
G3,B11_main,14,0,36,50
G3,B12,6,0,47,53
G3,B13,11,0,47,58
G4,bootstrap,12,0,6,18
G4,B1,35,0,15,50
G4,B1_retry,4,0,2,6
G4,B2_main,20,0,30,50
G4,B2_retry,3,0,6,9
G4,B3_main,29,0,21,50
G4,B3_retry,3,0,7,10
G4,B4,31,0,19,50
G4,B4_retry,4,0,4,8
G4,B5,26,0,24,50
G4,B5_retry,0,0,11,11
G4,B6,26,0,34,60
G4,B7,27,0,47,74
G4,B8,20,0,37,57
G4,B9,14,0,52,66
G4,B10,25,0,41,66
G4,B11,17,0,50,67
G4,B12,17,0,47,64
G4,B13,23,0,41,64
G5,bootstrap,15,0,3,18
G5,B1,32,0,21,53
G5,B2,22,0,48,70
G5,B3,38,0,50,88
G5,B4,34,0,52,86
G5,B5,27,0,32,59
G5,B6,33,0,31,64
G5,B7,30,0,27,57
G5,B8,20,0,30,50
G5,B9,21,0,36,57
G5,B10,19,0,36,55
