group,batch,retries_executed,recovered_PASS,recovered_A,recovered_C,recovery_rate_pct
G2,B1,3,1,0,0,33
G2,B2,10,2,0,0,20
G2,B3,13,4,0,0,31
G2,B4,14,3,0,0,21
G2,B5,13,2,0,0,15
G2,B6,11,0,0,0,0
G3,B1,2,1,0,0,50
G3,B2,8,0,0,0,0
G3,B3,13,0,0,0,0
G3,B4,8,1,0,0,12
G3,B5,17,1,0,0,6
G3,B7,10,0,0,0,0
G3,B7r,10,3,0,0,30
G3,B8,7,0,0,0,0
G3,B9,4,0,0,0,0
G3,B10,7,2,0,0,29
G3,B11,5,0,0,2,0
G3,B12,3,0,0,1,0
G3,B13,8,1,0,3,12
G4,B1,6,4,0,0,67
G4,B2,9,2,0,0,22
G4,B3,10,3,0,0,30
G4,B4,8,4,0,0,50
G4,B5,11,0,0,0,0
G4,B6,10,0,0,0,0
G4,B7,12,0,0,0,0
G4,B7r,12,2,0,0,17
G4,B8,7,0,0,0,0
G4,B9,16,4,1,0,31
G4,B10,16,3,3,4,38
G4,B11,17,3,0,5,18
G4,B12,14,5,0,1,36
G4,B13,14,2,3,3,36
G5,G5_B1,3,1,0,1,33
G5,G5_B2,20,3,0,9,15
G5,G5_B3,38,7,0,19,18
G5,G5_B4,36,5,0,10,14
G5,G5_B5,9,0,0,1,0
G5,G5_B6,14,1,1,0,14
G5,G5_B7,7,2,0,3,29
G5,G5_B9,7,3,0,0,43
G5,G5_B10,5,0,1,1,20
G5,G5_B11,4,0,0,0,0
G5,G5_B12,5,2,1,1,60
G5,G5_B13,4,0,0,1,0
